REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,PWRHYDFJIXX01,1,2048,2.9686548
GLOBAL,PWRHYDFJIXX01,1,2049,2.9686548
GLOBAL,PWRHYDFJIXX01,1,2050,2.9686548
GLOBAL,PWROILFJIXX01,2,2022,0.26618622
GLOBAL,PWROILFJIXX01,2,2028,0.015507344
GLOBAL,PWROILFJIXX01,2,2029,0.16550734
GLOBAL,PWROILFJIXX01,2,2030,0.31550734
GLOBAL,PWROILFJIXX01,2,2031,0.44305708
GLOBAL,PWROILFJIXX01,2,2032,0.20359805
GLOBAL,PWROILFJIXX01,2,2033,0.71728944
GLOBAL,PWROILFJIXX01,2,2034,0.17316472
GLOBAL,PWROILFJIXX01,2,2035,0.99205352
GLOBAL,PWROILFJIXX01,2,2036,0.1680134
GLOBAL,PWROILFJIXX01,2,2037,0.68394847
GLOBAL,PWROILFJIXX01,2,2038,1.2109824
GLOBAL,PWROILFJIXX01,2,2039,0.89224081
GLOBAL,PWROILFJIXX01,2,2040,0.3062591
GLOBAL,PWROILFJIXX01,2,2041,0.27685931
GLOBAL,PWROILFJIXX01,2,2042,0.22611251
GLOBAL,PWROILFJIXX01,2,2043,0.1573911
GLOBAL,PWROILFJIXX01,2,2044,0.076596974
GLOBAL,PWRPETFJIXX01,2,2031,0.032450268
GLOBAL,PWRPETFJIXX01,2,2032,1.3088838
GLOBAL,PWRPETFJIXX01,2,2033,0.96519245
GLOBAL,PWRPETFJIXX01,2,2034,1.6420004
GLOBAL,PWRPETFJIXX01,2,2035,0.88271264
GLOBAL,PWRPETFJIXX01,2,2036,1.7775291
GLOBAL,PWRPETFJIXX01,2,2037,1.3323703
GLOBAL,PWRPETFJIXX01,2,2038,0.87238759
GLOBAL,PWRPETFJIXX01,2,2039,1.2992288
GLOBAL,PWRPETFJIXX01,2,2040,1.7775291
GLOBAL,PWRPETFJIXX01,2,2041,1.7775291
GLOBAL,PWRPETFJIXX01,2,2042,1.7775291
GLOBAL,PWRPETFJIXX01,2,2043,1.7775291
GLOBAL,PWRPETFJIXX01,2,2044,1.7775291
GLOBAL,PWRPETFJIXX01,2,2045,1.7223078
GLOBAL,PWRPETFJIXX01,2,2046,1.8974734
GLOBAL,PWRPETFJIXX01,2,2047,1.8632836
GLOBAL,PWRPETFJIXX01,2,2048,2.0526574
GLOBAL,PWRPETFJIXX01,2,2049,2.3026574
GLOBAL,PWRPETFJIXX01,2,2050,2.5526574
GLOBAL,PWRSPVFJIXX01,1,2040,0.19719761
GLOBAL,PWRSPVFJIXX01,1,2041,0.19719761
GLOBAL,PWRSPVFJIXX01,1,2042,0.19719761
GLOBAL,PWRSPVFJIXX01,1,2043,0.19719761
GLOBAL,PWRSPVFJIXX01,1,2044,0.19719761
GLOBAL,PWRSPVFJIXX01,1,2045,0.19719761
GLOBAL,PWRSPVFJIXX01,1,2046,0.19719761
GLOBAL,PWRSPVFJIXX01,1,2047,0.32773552
GLOBAL,PWRSPVFJIXX01,1,2048,0.32773552
GLOBAL,PWRSPVFJIXX01,1,2049,0.32773552
GLOBAL,PWRSPVFJIXX01,1,2050,0.32773552
GLOBAL,PWRTRNFJIXX,1,2021,3.35
GLOBAL,PWRTRNFJIXX,1,2022,3.43
GLOBAL,PWRTRNFJIXX,1,2023,3.5
GLOBAL,PWRTRNFJIXX,1,2024,3.58
GLOBAL,PWRTRNFJIXX,1,2025,3.65
GLOBAL,PWRTRNFJIXX,1,2026,3.8
GLOBAL,PWRTRNFJIXX,1,2027,3.95
GLOBAL,PWRTRNFJIXX,1,2028,4.1
GLOBAL,PWRTRNFJIXX,1,2029,4.25
GLOBAL,PWRTRNFJIXX,1,2030,4.4
GLOBAL,PWRTRNFJIXX,1,2031,4.56
GLOBAL,PWRTRNFJIXX,1,2032,4.72
GLOBAL,PWRTRNFJIXX,1,2033,4.89
GLOBAL,PWRTRNFJIXX,1,2034,5.05
GLOBAL,PWRTRNFJIXX,1,2035,5.21
GLOBAL,PWRTRNFJIXX,1,2036,5.4
GLOBAL,PWRTRNFJIXX,1,2037,5.59
GLOBAL,PWRTRNFJIXX,1,2038,5.77
GLOBAL,PWRTRNFJIXX,1,2039,5.981224
GLOBAL,PWRTRNFJIXX,1,2040,6.14
GLOBAL,PWRTRNFJIXX,1,2041,6.36
GLOBAL,PWRTRNFJIXX,1,2042,6.57
GLOBAL,PWRTRNFJIXX,1,2043,6.78
GLOBAL,PWRTRNFJIXX,1,2044,7.0
GLOBAL,PWRTRNFJIXX,1,2045,7.21
GLOBAL,PWRTRNFJIXX,1,2046,7.46
GLOBAL,PWRTRNFJIXX,1,2047,7.72
GLOBAL,PWRTRNFJIXX,1,2048,7.97
GLOBAL,PWRTRNFJIXX,1,2049,8.22
GLOBAL,PWRTRNFJIXX,1,2050,8.47
GLOBAL,PWRWONFJIXX01,1,2023,0.016808215
GLOBAL,PWRWONFJIXX01,1,2024,0.016808215
GLOBAL,PWRWONFJIXX01,1,2025,0.016808215
GLOBAL,PWRWONFJIXX01,1,2026,0.016808215
GLOBAL,PWRWONFJIXX01,1,2027,0.016808215
GLOBAL,PWRWONFJIXX01,1,2028,0.016808215
GLOBAL,PWRWONFJIXX01,1,2029,0.016808215
GLOBAL,PWRWONFJIXX01,1,2030,0.016808215
GLOBAL,PWRWONFJIXX01,1,2031,0.016808215
GLOBAL,PWRWONFJIXX01,1,2032,0.081183269
GLOBAL,PWRWONFJIXX01,1,2033,0.081183269
GLOBAL,PWRWONFJIXX01,1,2034,0.081183269
GLOBAL,PWRWONFJIXX01,1,2035,0.081183269
GLOBAL,PWRWONFJIXX01,1,2036,0.081183269
GLOBAL,PWRWONFJIXX01,1,2037,0.081183269
GLOBAL,PWRWONFJIXX01,1,2038,0.081183269
GLOBAL,RNWBIOFJIXX,1,2021,4.1982931
GLOBAL,RNWBIOFJIXX,1,2022,4.1982931
GLOBAL,RNWBIOFJIXX,1,2023,4.1982931
GLOBAL,RNWBIOFJIXX,1,2024,4.1982931
GLOBAL,RNWBIOFJIXX,1,2025,4.1982931
GLOBAL,RNWBIOFJIXX,1,2026,4.1982931
GLOBAL,RNWBIOFJIXX,1,2027,4.1982931
GLOBAL,RNWBIOFJIXX,1,2028,4.1982931
GLOBAL,RNWBIOFJIXX,1,2029,4.1982931
GLOBAL,RNWBIOFJIXX,1,2030,4.1982931
GLOBAL,RNWBIOFJIXX,1,2031,4.1982931
GLOBAL,RNWBIOFJIXX,1,2032,0.6023376
GLOBAL,RNWBIOFJIXX,1,2033,0.6023376
GLOBAL,RNWBIOFJIXX,1,2034,0.70668786
GLOBAL,RNWBIOFJIXX,1,2035,1.0902117
GLOBAL,RNWBIOFJIXX,1,2036,1.5456462
GLOBAL,RNWBIOFJIXX,1,2037,2.0010808
GLOBAL,RNWBIOFJIXX,1,2038,2.4325451
GLOBAL,RNWBIOFJIXX,1,2039,3.1366003
GLOBAL,RNWBIOFJIXX,1,2040,3.4011729
GLOBAL,RNWBIOFJIXX,1,2041,4.3538801
GLOBAL,RNWBIOFJIXX,1,2042,5.3499329
GLOBAL,RNWBIOFJIXX,1,2043,6.4146487
GLOBAL,RNWBIOFJIXX,1,2044,7.5636822
GLOBAL,RNWBIOFJIXX,1,2045,8.8694277
GLOBAL,RNWBIOFJIXX,1,2046,9.1552951
GLOBAL,RNWBIOFJIXX,1,2047,9.7804454
GLOBAL,RNWBIOFJIXX,1,2048,10.012037
GLOBAL,RNWBIOFJIXX,1,2049,10.012037
GLOBAL,RNWBIOFJIXX,1,2050,10.012037
GLOBAL,RNWHYDFJIXX,1,2021,2.2509704
GLOBAL,RNWHYDFJIXX,1,2022,2.0647842
GLOBAL,RNWHYDFJIXX,1,2023,2.3841622
GLOBAL,RNWHYDFJIXX,1,2024,2.4641622
GLOBAL,RNWHYDFJIXX,1,2025,2.5341622
GLOBAL,RNWHYDFJIXX,1,2026,2.6841622
GLOBAL,RNWHYDFJIXX,1,2027,2.8341622
GLOBAL,RNWHYDFJIXX,1,2028,2.9686548
GLOBAL,RNWHYDFJIXX,1,2029,2.9686548
GLOBAL,RNWHYDFJIXX,1,2030,2.9686548
GLOBAL,RNWHYDFJIXX,1,2031,2.9686548
GLOBAL,RNWHYDFJIXX,1,2032,2.9686548
GLOBAL,RNWHYDFJIXX,1,2033,2.9686548
GLOBAL,RNWHYDFJIXX,1,2034,2.9686548
GLOBAL,RNWHYDFJIXX,1,2035,2.9686548
GLOBAL,RNWHYDFJIXX,1,2036,2.9686548
GLOBAL,RNWHYDFJIXX,1,2037,2.9686548
GLOBAL,RNWHYDFJIXX,1,2038,2.9686548
GLOBAL,RNWHYDFJIXX,1,2039,2.9686548
GLOBAL,RNWHYDFJIXX,1,2040,2.9686548
GLOBAL,RNWHYDFJIXX,1,2041,2.9686548
GLOBAL,RNWHYDFJIXX,1,2042,2.9686548
GLOBAL,RNWHYDFJIXX,1,2043,2.9686548
GLOBAL,RNWHYDFJIXX,1,2044,2.9686548
GLOBAL,RNWHYDFJIXX,1,2045,2.9686548
GLOBAL,RNWHYDFJIXX,1,2046,2.9686548
GLOBAL,RNWHYDFJIXX,1,2047,2.9686548
GLOBAL,RNWHYDFJIXX,1,2048,2.9686548
GLOBAL,RNWHYDFJIXX,1,2049,2.9686548
GLOBAL,RNWHYDFJIXX,1,2050,2.9686548
GLOBAL,RNWSPVFJIXX,1,2040,0.19719761
GLOBAL,RNWSPVFJIXX,1,2041,0.19719761
GLOBAL,RNWSPVFJIXX,1,2042,0.19719761
GLOBAL,RNWSPVFJIXX,1,2043,0.19719761
GLOBAL,RNWSPVFJIXX,1,2044,0.19719761
GLOBAL,RNWSPVFJIXX,1,2045,0.19719761
GLOBAL,RNWSPVFJIXX,1,2046,0.19719761
GLOBAL,RNWSPVFJIXX,1,2047,0.32773552
GLOBAL,RNWSPVFJIXX,1,2048,0.32773552
GLOBAL,RNWSPVFJIXX,1,2049,0.32773552
GLOBAL,RNWSPVFJIXX,1,2050,0.32773552
GLOBAL,RNWWONFJIXX,1,2023,0.016808215
GLOBAL,RNWWONFJIXX,1,2024,0.016808215
GLOBAL,RNWWONFJIXX,1,2025,0.016808215
GLOBAL,RNWWONFJIXX,1,2026,0.016808215
GLOBAL,RNWWONFJIXX,1,2027,0.016808215
GLOBAL,RNWWONFJIXX,1,2028,0.016808215
GLOBAL,RNWWONFJIXX,1,2029,0.016808215
GLOBAL,RNWWONFJIXX,1,2030,0.016808215
GLOBAL,RNWWONFJIXX,1,2031,0.016808215
GLOBAL,RNWWONFJIXX,1,2032,0.081183269
GLOBAL,RNWWONFJIXX,1,2033,0.081183269
GLOBAL,RNWWONFJIXX,1,2034,0.081183269
GLOBAL,RNWWONFJIXX,1,2035,0.081183269
GLOBAL,RNWWONFJIXX,1,2036,0.081183269
GLOBAL,RNWWONFJIXX,1,2037,0.081183269
GLOBAL,RNWWONFJIXX,1,2038,0.081183269
GLOBAL,DEMCOMELCFJIXX02,1,2039,0.021223987
GLOBAL,MINLNDTOT,1,2021,18.2729
GLOBAL,MINLNDTOT,1,2022,18.2729
GLOBAL,MINLNDTOT,1,2023,18.2729
GLOBAL,MINLNDTOT,1,2024,18.2729
GLOBAL,MINLNDTOT,1,2025,18.2729
GLOBAL,MINLNDTOT,1,2026,18.2729
GLOBAL,MINLNDTOT,1,2027,18.2729
GLOBAL,MINLNDTOT,1,2028,18.2729
GLOBAL,MINLNDTOT,1,2029,18.2729
GLOBAL,MINLNDTOT,1,2030,18.2729
GLOBAL,MINLNDTOT,1,2031,18.2729
GLOBAL,MINLNDTOT,1,2032,18.2729
GLOBAL,MINLNDTOT,1,2033,18.2729
GLOBAL,MINLNDTOT,1,2034,18.2729
GLOBAL,MINLNDTOT,1,2035,18.2729
GLOBAL,MINLNDTOT,1,2036,18.2729
GLOBAL,MINLNDTOT,1,2037,18.2729
GLOBAL,MINLNDTOT,1,2038,18.2729
GLOBAL,MINLNDTOT,1,2039,18.2729
GLOBAL,MINLNDTOT,1,2040,18.2729
GLOBAL,MINLNDTOT,1,2041,18.2729
GLOBAL,MINLNDTOT,1,2042,18.2729
