REGION,TIMESLICE,FUEL,YEAR,VALUE
GLOBAL,S2D2,ELCFJIXX02,2043,1.4916
GLOBAL,S1D1,ELCFJIXX02,2044,1.9600000000000002
GLOBAL,S1D2,ELCFJIXX02,2044,1.75
GLOBAL,S2D1,ELCFJIXX02,2044,1.75
GLOBAL,S2D2,ELCFJIXX02,2044,1.54
GLOBAL,S1D1,ELCFJIXX02,2045,2.0188
GLOBAL,S1D2,ELCFJIXX02,2045,1.8025
GLOBAL,S2D1,ELCFJIXX02,2045,1.8025
GLOBAL,S2D2,ELCFJIXX02,2045,1.5862
GLOBAL,S1D1,ELCFJIXX02,2046,2.0888
GLOBAL,S1D2,ELCFJIXX02,2046,1.865
GLOBAL,S2D1,ELCFJIXX02,2046,1.865
GLOBAL,S2D2,ELCFJIXX02,2046,1.6412
GLOBAL,S1D1,ELCFJIXX02,2047,2.1616
GLOBAL,S1D2,ELCFJIXX02,2047,1.93
GLOBAL,S2D1,ELCFJIXX02,2047,1.93
GLOBAL,S2D2,ELCFJIXX02,2047,1.6984
GLOBAL,S1D1,ELCFJIXX02,2048,2.2316000000000003
GLOBAL,S1D2,ELCFJIXX02,2048,1.9925
GLOBAL,S2D1,ELCFJIXX02,2048,1.9925
GLOBAL,S2D2,ELCFJIXX02,2048,1.7533999999999998
GLOBAL,S1D1,ELCFJIXX02,2049,2.3016000000000005
GLOBAL,S1D2,ELCFJIXX02,2049,2.055
GLOBAL,S2D1,ELCFJIXX02,2049,2.055
GLOBAL,S2D2,ELCFJIXX02,2049,1.8084000000000002
GLOBAL,S1D1,ELCFJIXX02,2050,2.3716000000000004
GLOBAL,S1D2,ELCFJIXX02,2050,2.1175
GLOBAL,S2D1,ELCFJIXX02,2050,2.1175
GLOBAL,S2D2,ELCFJIXX02,2050,1.8634000000000002
