technology,base_year,end_year,observed_useful_service,service_unit,capacity_to_activity_unit,model_capacity_unit,historical_utilization,operating_life,remaining_life,retirement_method,source_ids,calculation_id,notes
TEC_fsh_cap_dsl,2020,2050,0.033508266,PJ service/year,1,PJ service/year,0.70,15,15,uniform_age,SRC_FSH_FIJI_MOF_AR2020_21;SRC_FSH_FAO_FUEL;SRC_FSH_UNSD_DSD,CALC_FSH_CAPTURE_RC,Existing diesel-equivalent capture fleet; stock may idle.
TEC_fsh_aq_ele,2020,2050,0.000005841963,PJ service/year,1,PJ service/year,0.60,12,12,uniform_age,SRC_FSH_FIJI_MOF_AR2020_21,CALC_FSH_AQ_RC,Existing electrically operated aquaculture equipment; stock may idle.
TEC_fsh_post_ele,2020,2050,0.01519168068,PJ service/year,1,PJ service/year,0.70,15,15,uniform_age,SRC_FSH_FIJI_MOF_AR2020_21;SRC_FSH_FAO_PROCESS,CALC_FSH_POST_ELEC_RC,Residual stock sizing uses the observed carrier split only; dispatch is unforced.
TEC_fsh_post_dsl,2020,2050,0.004051114848,PJ service/year,1,PJ service/year,0.70,15,15,uniform_age,SRC_FSH_FIJI_MOF_AR2020_21;SRC_FSH_FAO_PROCESS,CALC_FSH_POST_DSL_RC,Residual stock sizing uses the observed carrier split only; dispatch is unforced.
TEC_fsh_post_sol,2020,2050,0.0000504576,PJ service/year,1,PJ service/year,1.0,10,10,uniform_age,SRC_FSH_FIJI_MOF_AR2020_21,CALC_FSH_SOLAR_RC,Four reported solar freezers represented by a disclosed rating/COP estimate; stock may idle.
