cache_filename,model_crop_code,gaez_crop,model_variable,gaez_name,input_level,water_supply,available_water_content,climate_model,pathway,time_period,source_unit,download_url,file_identifier,selection_table,selection_table_csv_line
CON cwd Rain-fed High.tif,CON,Coconut,cwd,cocn200b_wde,High,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),HadGEM2-ES,RCP4.5,2011-2040,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/cocn200b_wde.tif,325486,GAEZ_cwd_High_Input.csv,343
CON cwd Rain-fed Low.tif,CON,Coconut,cwd,cocn200b_wde,Low,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),CRUTS32,Historical,1981-2010,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/cocn200b_wde.tif,278254,GAEZ_cwd_Low_Input.csv,35
CON evt Irrigation High.tif,CON,Coconut,evt,cocn200a_eta,High,Irrigation,Available water content of 200 mm/m (under irrigation conditions),HadGEM2-ES,RCP4.5,2011-2040,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/cocn200a_eta.tif,326493,GAEZ_evt_High_Input.csv,342
CON evt Irrigation Low.tif,CON,Coconut,evt,cocn200a_eta,Low,Irrigation,Available water content of 200 mm/m (under irrigation conditions),CRUTS32,Historical,1981-2010,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/cocn200a_eta.tif,279261,GAEZ_evt_Low_Input.csv,34
CON evt Rain-fed High.tif,CON,Coconut,evt,cocn200b_eta,High,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),HadGEM2-ES,RCP4.5,2011-2040,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/cocn200b_eta.tif,327092,GAEZ_evt_High_Input.csv,343
CON evt Rain-fed Low.tif,CON,Coconut,evt,cocn200b_eta,Low,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),CRUTS32,Historical,1981-2010,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/cocn200b_eta.tif,279860,GAEZ_evt_Low_Input.csv,35
CON yld Irrigation High.tif,CON,Coconut,yld,cocn200a_yld,High,Irrigation,Available water content of 200 mm/m (under irrigation conditions),HadGEM2-ES,RCP4.5,2011-2040,kg DW/ha,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/cocn200a_yld.tif,328981,GAEZ_yld_High_Input.csv,342
CON yld Irrigation Low.tif,CON,Coconut,yld,cocn200a_yld,Low,Irrigation,Available water content of 200 mm/m (under irrigation conditions),CRUTS32,Historical,1981-2010,kg DW/ha,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/cocn200a_yld.tif,281749,GAEZ_yld_Low_Input.csv,34
CON yld Rain-fed High.tif,CON,Coconut,yld,cocn200b_yld,High,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),HadGEM2-ES,RCP4.5,2011-2040,kg DW/ha,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/cocn200b_yld.tif,326969,GAEZ_yld_High_Input.csv,343
CON yld Rain-fed Low.tif,CON,Coconut,yld,cocn200b_yld,Low,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),CRUTS32,Historical,1981-2010,kg DW/ha,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/cocn200b_yld.tif,279737,GAEZ_yld_Low_Input.csv,35
PTS cwd Irrigation High.tif,PTS,Sweet potato,cwd,spot200a_wde,High,Irrigation,Available water content of 200 mm/m (under irrigation conditions),HadGEM2-ES,RCP4.5,2011-2040,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/spot200a_wde.tif,328379,GAEZ_cwd_High_Input.csv,424
PTS cwd Irrigation Low.tif,PTS,Sweet potato,cwd,spot200a_wde,Low,Irrigation,Available water content of 200 mm/m (under irrigation conditions),CRUTS32,Historical,1981-2010,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/spot200a_wde.tif,281147,GAEZ_cwd_Low_Input.csv,112
PTS cwd Rain-fed High.tif,PTS,Sweet potato,cwd,spot200b_wde,High,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),HadGEM2-ES,RCP4.5,2011-2040,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/spot200b_wde.tif,325160,GAEZ_cwd_High_Input.csv,425
PTS cwd Rain-fed Low.tif,PTS,Sweet potato,cwd,spot200b_wde,Low,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),CRUTS32,Historical,1981-2010,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/spot200b_wde.tif,277928,GAEZ_cwd_Low_Input.csv,113
PTS evt Irrigation High.tif,PTS,Sweet potato,evt,spot200a_eta,High,Irrigation,Available water content of 200 mm/m (under irrigation conditions),HadGEM2-ES,RCP4.5,2011-2040,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/spot200a_eta.tif,329887,GAEZ_evt_High_Input.csv,424
PTS evt Irrigation Low.tif,PTS,Sweet potato,evt,spot200a_eta,Low,Irrigation,Available water content of 200 mm/m (under irrigation conditions),CRUTS32,Historical,1981-2010,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/spot200a_eta.tif,282655,GAEZ_evt_Low_Input.csv,112
PTS evt Rain-fed High.tif,PTS,Sweet potato,evt,spot200b_eta,High,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),HadGEM2-ES,RCP4.5,2011-2040,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/spot200b_eta.tif,329370,GAEZ_evt_High_Input.csv,425
PTS evt Rain-fed Low.tif,PTS,Sweet potato,evt,spot200b_eta,Low,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),CRUTS32,Historical,1981-2010,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/spot200b_eta.tif,282138,GAEZ_evt_Low_Input.csv,113
PTS yld Irrigation High.tif,PTS,Sweet potato,yld,spot200a_yld,High,Irrigation,Available water content of 200 mm/m (under irrigation conditions),HadGEM2-ES,RCP4.5,2011-2040,kg DW/ha,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/spot200a_yld.tif,326524,GAEZ_yld_High_Input.csv,424
PTS yld Irrigation Low.tif,PTS,Sweet potato,yld,spot200a_yld,Low,Irrigation,Available water content of 200 mm/m (under irrigation conditions),CRUTS32,Historical,1981-2010,kg DW/ha,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/spot200a_yld.tif,279292,GAEZ_yld_Low_Input.csv,112
PTS yld Rain-fed High.tif,PTS,Sweet potato,yld,spot200b_yld,High,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),HadGEM2-ES,RCP4.5,2011-2040,kg DW/ha,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/spot200b_yld.tif,328874,GAEZ_yld_High_Input.csv,425
PTS yld Rain-fed Low.tif,PTS,Sweet potato,yld,spot200b_yld,Low,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),CRUTS32,Historical,1981-2010,kg DW/ha,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/spot200b_yld.tif,281642,GAEZ_yld_Low_Input.csv,113
RCP cwd Irrigation High.tif,RCP,Wetland rice,cwd,ricw200a_wde,High,Irrigation,Available water content of 200 mm/m (under irrigation conditions),HadGEM2-ES,RCP4.5,2011-2040,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/ricw200a_wde.tif,326308,GAEZ_cwd_High_Input.csv,414
RCP cwd Irrigation Low.tif,RCP,Wetland rice,cwd,ricw200a_wde,Low,Irrigation,Available water content of 200 mm/m (under irrigation conditions),CRUTS32,Historical,1981-2010,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/ricw200a_wde.tif,279076,GAEZ_cwd_Low_Input.csv,102
