year,population_million,population_index_2021
2021,0.9286284763964703,1.0
2022,0.9326764223725436,1.0043590586321252
2023,0.9367243683486167,1.0087181172642503
2024,0.94077231432469,1.0130771758963755
2025,0.9448202603007633,1.0174362345285006
2026,0.9478698675850064,1.02072022523281
2027,0.9509194748692494,1.0240042159371194
2028,0.9539690821534925,1.027288206641429
2029,0.9570186894377356,1.0305721973457385
2030,0.9600682967219787,1.0338561880500479
2031,0.9621546384833248,1.0361028796111793
2032,0.964240980244671,1.0383495711723105
2033,0.9663273220060172,1.040596262733442
2034,0.9684136637673634,1.0428429542945732
2035,0.9705000055287095,1.0450896458557044
2036,0.9714344641623145,1.0460959241008334
2037,0.9723689227959194,1.0471022023459622
2038,0.9733033814295243,1.048108480591091
2039,0.9742378400631292,1.0491147588362197
2040,0.9751722986967342,1.0501210370813487
2041,0.9750278634345665,1.049965500969934
2042,0.9748834281723989,1.0498099648585195
2043,0.9747389929102313,1.0496544287471048
2044,0.9745945576480637,1.04949889263569
2045,0.974450122385896,1.0493433565242754
2046,0.9734611799267684,1.0482784069946582
2047,0.9724722374676408,1.047213457465041
2048,0.9714832950085133,1.0461485079354238
2049,0.9704943525493857,1.0450835584058065
2050,0.969505410090258,1.0440186088761891
