year,split,outcome,forcing_class,observed_gwh,model_gwh,error_gwh,absolute_error_gwh,percent_error,source_id
2020,calibration,biomass_ipp_generation,H,67.094,67.19444444444444,0.10044444444444878,0.10044444444444878,0.14970704451135539,DS-EFL-AR-2024
2020,calibration,hydro_generation,E,558.173,526.3333333333334,-31.83966666666663,31.83966666666663,-5.704264926226569,DS-EFL-AR-2024
2020,calibration,thermal_generation,E,349.97,382.66666666666663,32.6966666666666,32.6966666666666,9.342705565238905,DS-EFL-AR-2024
2020,calibration,wind_generation,H,1.136,0.1388888888888889,-0.9971111111111111,0.9971111111111111,-87.77386541471049,DS-EFL-AR-2024
2020,calibration,total_grid_supply,J,976.372,976.3333333333334,-0.038666666666586025,0.038666666666586025,-0.003960239198439327,DS-EFL-AR-2024
2020,calibration,renewable_share,E,64.15618227478872,60.80573574598839,-3.3504465288003105,3.3504465288003105,,DS-EFL-AR-2024
2021,calibration,biomass_ipp_generation,H,61.053,67.19444444444444,6.141444444444446,6.141444444444446,10.059201750027757,DS-EFL-AR-2024
2021,calibration,hydro_generation,E,547.862,526.3333333333334,-21.528666666666595,21.528666666666595,-3.9295783731426157,DS-EFL-AR-2024
2021,calibration,thermal_generation,E,327.81,343.3333333333333,15.523333333333312,15.523333333333312,4.735466682936247,DS-EFL-AR-2024
2021,calibration,wind_generation,H,0.293,0.1388888888888889,-0.1541111111111111,0.1541111111111111,-52.59764884338262,DS-EFL-AR-2024
2021,calibration,total_grid_supply,J,937.018,937.0,-0.018000000000029104,0.018000000000029104,-0.001920987643783695,DS-EFL-AR-2024
2021,calibration,renewable_share,E,65.0156133606825,63.35823550337958,-1.6573778573029108,1.6573778573029108,,DS-EFL-AR-2024
2022,calibration,biomass_ipp_generation,H,73.471,67.19444444444444,-6.276555555555561,6.276555555555561,-8.542902036933702,DS-EFL-AR-2024
2022,calibration,hydro_generation,E,598.096,526.3333333333334,-71.76266666666663,71.76266666666663,-11.998519747108595,DS-EFL-AR-2024
2022,calibration,thermal_generation,E,409.801,487.77777777777777,77.97677777777778,77.97677777777778,19.02796181019026,DS-EFL-AR-2024
2022,calibration,wind_generation,H,0.093,0.1388888888888889,0.045888888888888896,0.045888888888888896,49.342891278375156,DS-EFL-AR-2024
2022,calibration,total_grid_supply,J,1081.461,1081.4444444444446,-0.01655555555544197,0.01655555555544197,-0.0015308509095974768,DS-EFL-AR-2024
2022,calibration,renewable_share,E,62.10672414446753,54.89571560669886,-7.21100853776867,7.21100853776867,,DS-EFL-AR-2024
2023,validation,biomass_ipp_generation,E,76.115,67.19444444444444,-8.920555555555552,8.920555555555552,-11.719839132307104,DS-EFL-AR-2024
2023,validation,hydro_generation,E,539.258,526.3333333333334,-12.924666666666667,12.924666666666667,-2.396750102301063,DS-EFL-AR-2024
2023,validation,thermal_generation,E,505.547,527.2777777777778,21.730777777777803,21.730777777777803,4.298468347706109,DS-EFL-AR-2024
2023,validation,wind_generation,E,0.062,0.1388888888888889,0.0768888888888889,0.0768888888888889,124.01433691756274,DS-EFL-AR-2024
2023,validation,total_grid_supply,J,1120.982,1120.9444444444446,-0.03755555555540013,0.03755555555540013,-0.0033502371630766714,DS-EFL-AR-2024
2023,validation,renewable_share,E,54.90141679349,52.9612925608366,-1.9401242326534063,1.9401242326534063,,DS-EFL-AR-2024
2024,validation,biomass_ipp_generation,E,63.799,67.19444444444444,3.3954444444444434,3.3954444444444434,5.3220966542491945,DS-EFL-AR-2024
2024,validation,hydro_generation,E,630.506,526.3333333333334,-104.1726666666666,104.1726666666666,-16.522073805271734,DS-EFL-AR-2024
2024,validation,thermal_generation,E,523.752,625.2222222222222,101.47022222222222,101.47022222222222,19.373715464995307,DS-EFL-AR-2024
2024,validation,wind_generation,E,0.718,0.1388888888888889,-0.5791111111111111,0.5791111111111111,-80.65614360878985,DS-EFL-AR-2024
2024,validation,total_grid_supply,J,1218.906,1218.888888888889,-0.017111111111034916,0.017111111111034916,-0.0014038089164410477,DS-EFL-AR-2024
2024,validation,renewable_share,E,57.030976958026294,48.70556061987238,-8.325416338153918,8.325416338153918,,DS-EFL-AR-2024
