REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOFJIXX01,2034,0.0017324215
GLOBAL,PWRBIOFJIXX01,2035,0.0080996784
GLOBAL,PWRBIOFJIXX01,2036,0.0156607959
GLOBAL,PWRBIOFJIXX01,2037,0.0232219134
GLOBAL,PWRBIOFJIXX01,2038,0.0303850774
GLOBAL,PWRBIOFJIXX01,2039,0.0420737924
GLOBAL,PWRBIOFJIXX01,2040,0.0464662228
GLOBAL,PWRBIOFJIXX01,2041,0.0622830538
GLOBAL,PWRBIOFJIXX01,2042,0.0788195068
GLOBAL,PWRBIOFJIXX01,2043,0.09649590279999999
GLOBAL,PWRBIOFJIXX01,2044,0.11557214079999999
GLOBAL,PWRBIOFJIXX01,2045,0.1372501078
GLOBAL,PWRBIOFJIXX01,2046,0.1519960738
GLOBAL,PWRBIOFJIXX01,2047,0.1623748098
GLOBAL,PWRBIOFJIXX01,2048,0.16621969909999998
GLOBAL,PWRBIOFJIXX01,2049,0.16621969909999998
GLOBAL,PWRBIOFJIXX01,2050,0.16621969909999998
GLOBAL,PWRPETFJIXX01,2031,0.0041508319
GLOBAL,PWRPETFJIXX01,2032,0.0590562999
GLOBAL,PWRPETFJIXX01,2033,0.0658215103
GLOBAL,PWRPETFJIXX01,2034,0.07045634569999999
GLOBAL,PWRPETFJIXX01,2035,0.07045634569999999
GLOBAL,PWRPETFJIXX01,2036,0.07045634569999999
GLOBAL,PWRPETFJIXX01,2037,0.07045634569999999
GLOBAL,PWRPETFJIXX01,2038,0.07045634569999999
GLOBAL,PWRPETFJIXX01,2039,0.07045634569999999
GLOBAL,PWRPETFJIXX01,2040,0.07045634569999999
GLOBAL,PWRPETFJIXX01,2041,0.07045634569999999
GLOBAL,PWRPETFJIXX01,2042,0.07045634569999999
GLOBAL,PWRPETFJIXX01,2043,0.07045634569999999
GLOBAL,PWRPETFJIXX01,2044,0.07045634569999999
GLOBAL,PWRPETFJIXX01,2045,0.07045634569999999
GLOBAL,PWRPETFJIXX01,2046,0.07521061039999999
GLOBAL,PWRPETFJIXX01,2047,0.07521061039999999
GLOBAL,PWRPETFJIXX01,2048,0.09037106339999999
GLOBAL,PWRPETFJIXX01,2049,0.1011802944
GLOBAL,PWRPETFJIXX01,2050,0.1011802944
GLOBAL,PWRSPVFJIXX01,2040,0.046255344
GLOBAL,PWRSPVFJIXX01,2041,0.046255344
GLOBAL,PWRSPVFJIXX01,2042,0.046255344
GLOBAL,PWRSPVFJIXX01,2043,0.046255344
GLOBAL,PWRSPVFJIXX01,2044,0.046255344
GLOBAL,PWRSPVFJIXX01,2045,0.046255344
GLOBAL,PWRSPVFJIXX01,2046,0.046255344
GLOBAL,PWRSPVFJIXX01,2047,0.076874764
GLOBAL,PWRSPVFJIXX01,2048,0.076874764
GLOBAL,PWRSPVFJIXX01,2049,0.076874764
GLOBAL,PWRSPVFJIXX01,2050,0.076874764
GLOBAL,LNDCONHRTOT,2021,0.044243878
GLOBAL,LNDCONHRTOT,2022,0.04443673514
GLOBAL,LNDCONHRTOT,2023,0.044629592280000005
GLOBAL,LNDCONHRTOT,2024,0.04482244942000001
GLOBAL,LNDCONHRTOT,2025,0.04501530656000001
GLOBAL,LNDCONHRTOT,2026,0.04516061268000001
GLOBAL,LNDCONHRTOT,2027,0.04530591880000001
GLOBAL,LNDCONHRTOT,2028,0.04545122492
GLOBAL,LNDCONHRTOT,2029,0.04559653104
GLOBAL,LNDCONHRTOT,2030,0.04574183716
GLOBAL,LNDCONHRTOT,2031,0.045841224915
GLOBAL,LNDCONHRTOT,2032,0.04594061267
GLOBAL,LNDCONHRTOT,2033,0.046040000425
GLOBAL,LNDCONHRTOT,2034,0.04613938818
GLOBAL,LNDCONHRTOT,2035,0.046238775935
GLOBAL,LNDCONHRTOT,2036,0.046283264935
GLOBAL,LNDCONHRTOT,2037,0.046327958815
GLOBAL,LNDCONHRTOT,2038,0.046372448615
GLOBAL,LNDCONHRTOT,2039,0.046654285355000005
GLOBAL,LNDCONHRTOT,2040,0.046461428215
GLOBAL,LNDCONHRTOT,2041,0.046454489445000004
GLOBAL,LNDCONHRTOT,2042,0.046447754755
