year,model_gross_grid_supply_requirement_pj,commercial_grid_use_pj,industrial_grid_use_pj,domestic_total_electricity_use_pj,household_own_generation_output_pj,inferred_grid_domestic_use_pj,distribution_loss_pj,residual_station_use_and_boundary_reconciliation_pj,reconciled_total_pj,source_and_calculation
2020,3.5149392,1.4034636540,0.7115815476,1.1506117106,0.1607141414,0.9898975692,0.1684616292,0.2415348000,3.5149392,"Model gross requirement from DS-EFL-AR-2024; customer use, household own generation and distribution loss from DS-FBS-ENERGY-ACCOUNT-2024; grid domestic = domestic total - household own generation; residual = model gross - commercial - industrial - grid domestic - distribution loss."
2021,3.3732648,1.2889292112,0.6141619440,1.2913007483,0.2092286279,1.0820721204,0.1683107244,0.2197908000,3.3732648,"Model gross requirement from DS-EFL-AR-2024; customer use, household own generation and distribution loss from DS-FBS-ENERGY-ACCOUNT-2024; grid domestic = domestic total - household own generation; residual = model gross - commercial - industrial - grid domestic - distribution loss."
2022,3.8932596,1.6062139728,0.7323638148,1.3606606742,0.2407861238,1.1198745504,0.1703116620,0.2644956000,3.8932596,"Model gross requirement from DS-EFL-AR-2024; customer use, household own generation and distribution loss from DS-FBS-ENERGY-ACCOUNT-2024; grid domestic = domestic total - household own generation; residual = model gross - commercial - industrial - grid domestic - distribution loss."
2023,4.0355352,1.6826353596,0.7530394464,1.4386992501,0.2728607925,1.1658384576,0.1600079364,0.2740140000,4.0355352,"Model gross requirement from DS-EFL-AR-2024; customer use, household own generation and distribution loss from DS-FBS-ENERGY-ACCOUNT-2024; grid domestic = domestic total - household own generation; residual = model gross - commercial - industrial - grid domestic - distribution loss."
2024,4.3880616,1.8214069392,0.8443905300,1.5792538397,0.3244511165,1.2548027232,0.2377850076,0.2296764000,4.3880616,"Model gross requirement from DS-EFL-AR-2024; customer use, household own generation and distribution loss from DS-FBS-ENERGY-ACCOUNT-2024; grid domestic = domestic total - household own generation; residual = model gross - commercial - industrial - grid domestic - distribution loss."
