year,split,outcome,forcing_class,observed_gwh,model_gwh,error_gwh,absolute_error_gwh,percent_error,source_id
2020,calibration,biomass_ipp_generation,H,67.094,70.61111111111111,3.51711111111112,3.51711111111112,5.2420650298255,DS-EFL-AR-2024
2020,calibration,hydro_generation,E,558.173,526.3333333333334,-31.83966666666663,31.83966666666663,-5.704264926226569,DS-EFL-AR-2024
2020,calibration,thermal_generation,E,349.97,379.27777777777777,29.307777777777744,29.307777777777744,8.374368596673357,DS-EFL-AR-2024
2020,calibration,wind_generation,H,1.136,0.1388888888888889,-0.9971111111111111,0.9971111111111111,-87.77386541471049,DS-EFL-AR-2024
2020,calibration,total_grid_supply,J,976.372,976.3611111111112,-0.01088888888875772,0.01088888888875772,-0.0011152397742620354,DS-EFL-AR-2024
2020,calibration,renewable_share,E,64.15618227478872,61.153944635693755,-3.0022376390949512,3.0022376390949512,,DS-EFL-AR-2024
2021,calibration,biomass_ipp_generation,H,61.053,62.69444444444444,1.6414444444444456,1.6414444444444456,2.6885565728865832,DS-EFL-AR-2024
2021,calibration,hydro_generation,E,547.862,526.3333333333334,-21.528666666666595,21.528666666666595,-3.9295783731426157,DS-EFL-AR-2024
2021,calibration,thermal_generation,E,327.81,347.8333333333333,20.023333333333312,20.023333333333312,6.10821309091648,DS-EFL-AR-2024
2021,calibration,wind_generation,H,0.293,0.1388888888888889,-0.1541111111111111,0.1541111111111111,-52.59764884338262,DS-EFL-AR-2024
2021,calibration,total_grid_supply,J,937.018,937.0,-0.018000000000029104,0.018000000000029104,-0.001920987643783695,DS-EFL-AR-2024
2021,calibration,renewable_share,E,65.0156133606825,62.877979366773395,-2.137633993909105,2.137633993909105,,DS-EFL-AR-2024
2022,calibration,biomass_ipp_generation,H,73.471,68.33333333333334,-5.137666666666661,5.137666666666661,-6.992781732474937,DS-EFL-AR-2024
2022,calibration,hydro_generation,E,598.096,526.3333333333334,-71.76266666666663,71.76266666666663,-11.998519747108595,DS-EFL-AR-2024
2022,calibration,thermal_generation,E,409.801,486.66666666666663,76.86566666666664,76.86566666666664,18.75682750082763,DS-EFL-AR-2024
2022,calibration,wind_generation,H,0.093,0.1388888888888889,0.045888888888888896,0.045888888888888896,49.342891278375156,DS-EFL-AR-2024
2022,calibration,total_grid_supply,J,1081.461,1081.4722222222222,0.011222222222158962,0.011222222222158962,0.0010376908850304322,DS-EFL-AR-2024
2022,calibration,renewable_share,E,62.10672414446753,54.9996147227288,-7.107109421738722,7.107109421738722,,DS-EFL-AR-2024
2023,validation,biomass_ipp_generation,E,76.115,66.47222222222223,-9.642777777777766,9.642777777777766,-12.66869576007064,DS-EFL-AR-2024
2023,validation,hydro_generation,E,539.258,526.3333333333334,-12.924666666666667,12.924666666666667,-2.396750102301063,DS-EFL-AR-2024
2023,validation,thermal_generation,E,505.547,528.0277777777778,22.480777777777803,22.480777777777803,4.446822506666601,DS-EFL-AR-2024
2023,validation,wind_generation,E,0.062,0.1388888888888889,0.0768888888888889,0.0768888888888889,124.01433691756274,DS-EFL-AR-2024
2023,validation,total_grid_supply,J,1120.982,1120.9722222222224,-0.009777777777571828,0.009777777777571828,-0.000872251095697507,DS-EFL-AR-2024
2023,validation,renewable_share,E,54.90141679349,52.89555197621113,-2.0058648172788685,2.0058648172788685,,DS-EFL-AR-2024
2024,validation,biomass_ipp_generation,E,63.799,60.527777777777786,-3.271222222222214,3.271222222222214,-5.127387924923923,DS-EFL-AR-2024
2024,validation,hydro_generation,E,630.506,526.3333333333334,-104.1726666666666,104.1726666666666,-16.522073805271734,DS-EFL-AR-2024
2024,validation,thermal_generation,E,523.752,631.8888888888888,108.13688888888885,108.13688888888885,20.646582521668435,DS-EFL-AR-2024
2024,validation,wind_generation,E,0.718,0.1388888888888889,-0.5791111111111111,0.5791111111111111,-80.65614360878985,DS-EFL-AR-2024
2024,validation,total_grid_supply,J,1218.906,1218.888888888889,-0.017111111111034916,0.017111111111034916,-0.0014038089164410477,DS-EFL-AR-2024
2024,validation,renewable_share,E,57.030976958026294,48.15861440291706,-8.872362555109248,8.872362555109248,,DS-EFL-AR-2024
